"Region,Subregion,Country,Month,By_Air,By_Sea,Total_Arrivals,Previous_Year_Arrivals,Growth_Percent"
"AMERICAS,Caribbean & Central America,Others,March,84,0,84,94,-10.6"
"AMERICAS,South America,Argentina,March,101,0,101,120,-15.8"
"AMERICAS,South America,Brazil,March,206,7,213,159,34.0"
"AMERICAS,South America,Chile,March,84,2,86,77,11.7"
"AMERICAS,South America,Colombia,March,84,0,84,69,21.7"
"AMERICAS,South America,Others,March,102,0,102,71,43.7"
"AFRICA,North Africa,Morocco,March,65,0,65,35,85.7"
"AFRICA,North Africa,Sudan,March,23,0,23,14,64.3"
"AFRICA,North Africa,Others,March,89,0,89,37,140.5"
"AFRICA,Sub-Saharan Africa,Kenya,March,103,0,103,80,28.8"
"AFRICA,Sub-Saharan Africa,Mauritius,March,77,0,77,43,79.1"
"AFRICA,Sub-Saharan Africa,Nigeria,March,6,0,6,3,100.0"
"AFRICA,Sub-Saharan Africa,South Africa,March,657,12,669,548,22.1"
"AFRICA,Sub-Saharan Africa,Others,March,352,0,352,384,-8.3"
"ASIA & PACIFIC,North East Asia,China,March,11096,18,11114,13836,-19.7"
"ASIA & PACIFIC,North East Asia,Japan,March,3706,2,3708,2575,44.0"
"ASIA & PACIFIC,North East Asia,South Korea,March,959,4,963,861,11.8"
"ASIA & PACIFIC,North East Asia,Others,March,12,0,12,7,71.4"
"ASIA & PACIFIC,South East Asia,Cambodia,March,125,0,125,531,-76.5"
"ASIA & PACIFIC,South East Asia,Indonesia,March,313,0,313,257,21.8"
"ASIA & PACIFIC,South East Asia,Malaysia,March,2246,10,2256,1721,31.1"
"ASIA & PACIFIC,South East Asia,Myanmar,March,93,1,94,110,-14.5"
"ASIA & PACIFIC,South East Asia,Philippines,March,581,4,585,395,48.1"
"ASIA & PACIFIC,South East Asia,Singapore,March,1182,7,1189,1166,2.0"
"ASIA & PACIFIC,South East Asia,Thailand,March,902,1,903,928,-2.7"
"ASIA & PACIFIC,South East Asia,Vietnam,March,314,0,314,304,3.3"
"ASIA & PACIFIC,South East Asia,Others,March,20,0,20,23,-13.0"
"ASIA & PACIFIC,Oceania,Australia,March,8650,362,9012,8852,1.8"
"ASIA & PACIFIC,Oceania,New Zealand,March,942,23,965,1032,-6.5"
"ASIA & PACIFIC,Oceania,Others,March,33,0,33,49,-32.7"
"ASIA & PACIFIC,South Asia,Afghanistan,March,2,0,2,18,-88.9"
"ASIA & PACIFIC,South Asia,Bangladesh,March,4713,0,4713,1308,260.3"
"ASIA & PACIFIC,South Asia,Bhutan,March,22,0,22,68,-67.6"
"ASIA & PACIFIC,South Asia,India,March,38459,753,39212,31853,23.1"
"ASIA & PACIFIC,South Asia,Iran,March,3695,0,3695,3589,3.0"
"ASIA & PACIFIC,South Asia,Maldives,March,1932,0,1932,1562,23.7"
"ASIA & PACIFIC,South Asia,Nepal,March,307,0,307,309,-0.6"
"ASIA & PACIFIC,South Asia,Pakistan,March,736,0,736,941,-21.8"
"EUROPE,Northern Europe,Denmark,March,1293,6,1299,1497,-13.2"
"EUROPE,Northern Europe,Finland,March,449,3,452,464,-2.6"
"EUROPE,Northern Europe,Norway,March,958,2,960,1033,-7.1"
"EUROPE,Northern Europe,Sweden,March,1239,4,1243,1331,-6.6"
"EUROPE,Northern Europe,United Kingdom,March,22306,141,22447,21540,4.2"
"EUROPE,Northern Europe,Others,March,1250,7,1257,1034,21.6"
"EUROPE,Western Europe,Austria,March,1754,2,1756,1674,4.9"
"EUROPE,Western Europe,Belgium,March,1605,4,1609,1565,2.8"
"EUROPE,Western Europe,France,March,15262,16,15278,10960,39.4"
"EUROPE,Western Europe,Germany,March,17883,35,17918,18324,-2.2"
"EUROPE,Western Europe,Netherlands,March,4807,31,4838,3707,30.5"
"EUROPE,Western Europe,Switzerland,March,2733,7,2740,2522,8.6"
"EUROPE,Western Europe,Others,March,76,1,77,110,-30.0"
"EUROPE,Central/Eastern Europe,Belarus,March,1257,0,1257,1665,-24.5"
"EUROPE,Central/Eastern Europe,Czech Republic,March,2266,0,2266,2988,-24.5"
"EUROPE,Central/Eastern Europe,Estonia,March,757,0,757,690,9.7"
"EUROPE,Central/Eastern Europe,Hungary,March,689,6,695,585,18.8"
"EUROPE,Central/Eastern Europe,Kazakhstan,March,1808,0,1808,2266,-20.2"
"EUROPE,Central/Eastern Europe,Lithuania,March,1260,3,1263,1219,3.6"
"EUROPE,Central/Eastern Europe,Poland,March,5658,3,5661,4789,18.2"
"EUROPE,Central/Eastern Europe,Romania,March,754,6,760,638,19.1"
"EUROPE,Central/Eastern Europe,Russia,March,29176,1,29177,28016,4.1"
"EUROPE,Central/Eastern Europe,Slovakia,March,830,2,832,945,-12.0"
"EUROPE,Central/Eastern Europe,Ukraine,March,1117,2,1119,907,23.4"
"EUROPE,Central/Eastern Europe,Others,March,2376,1,2377,2362,0.6"
"EUROPE,Southern/Mediterranean Europe,Greece,March,330,0,330,305,8.2"
